iter	Logloss
0	0.6789847005
1	0.6676843099
2	0.6563122396
3	0.6468679687
4	0.6374855469
5	0.6310177083
6	0.6246799479
7	0.6191648438
8	0.6139064453
9	0.6105356771
10	0.606146224
11	0.6025460938
12	0.59905
13	0.5961889323
14	0.5940178385
15	0.5917566406
16	0.5888220052
17	0.586728125
18	0.5843985026
19	0.5823666667
20	0.5806207031
21	0.5792115885
22	0.5778541016
23	0.575898112
24	0.5747350911
25	0.5737416667
26	0.5724785807
27	0.5712335938
28	0.5702647135
29	0.5693128906
30	0.5681141927
31	0.5673736328
32	0.5662044922
33	0.5654565104
34	0.5644763021
35	0.563719401
36	0.5631365885
37	0.5622601563
38	0.5614904948
39	0.5609142578
40	0.5598410156
41	0.5592104167
42	0.5588645833
43	0.558163151
44	0.5575914063
45	0.5570341146
46	0.5564674479
47	0.5559888021
48	0.5555860026
49	0.5549889323
50	0.55451875
51	0.5539550781
52	0.553458138
53	0.5530213542
54	0.552528776
55	0.5522454427
56	0.5518041667
57	0.5513152344
58	0.5512236979
59	0.5508708333
60	0.5503851562
61	0.5500641927
62	0.5496240234
63	0.5492783203
64	0.5490070313
65	0.5485486979
66	0.5482034505
67	0.5480139323
68	0.5476960937
69	0.5475453125
70	0.5472659505
71	0.5469442708
72	0.5466572917
73	0.5463878255
74	0.5461367839
75	0.5459611003
76	0.5456071615
77	0.5453599284
78	0.5450876628
79	0.5447669922
80	0.5444951823
81	0.5441902669
82	0.543941276
83	0.5436598307
84	0.5435026042
85	0.5433150065
86	0.5431306641
87	0.542888151
88	0.5426830404
89	0.5425114583
90	0.5423130208
91	0.5420322917
92	0.541896875
93	0.5417165039
94	0.5414458984
95	0.5412673503
96	0.5410185547
97	0.5408158854
98	0.5406715495
99	0.5405114909
100	0.5403399089
101	0.5401334635
102	0.5398901367
103	0.539620931
104	0.5392619141
105	0.5390939453
106	0.538919987
107	0.5387151693
108	0.538487793
109	0.5382705404
110	0.5381227214
111	0.5379150065
112	0.5376530599
113	0.5374955078
114	0.5372922526
115	0.5370485026
116	0.5368016927
117	0.5365557617
118	0.5363070964
119	0.5361115234
120	0.5357297852
121	0.5355028646
122	0.5352727865
123	0.535034668
124	0.5348093099
125	0.5345781901
126	0.5343139323
127	0.5340690104
128	0.5337620443
129	0.5335131185
130	0.5332780924
131	0.5330839193
132	0.5328110677
133	0.5325739258
134	0.5323810221
135	0.5322182617
136	0.5320054687
137	0.531760612
138	0.5314579427
139	0.531259082
140	0.5308990234
141	0.5306442057
142	0.5303789714
143	0.5301744466
144	0.5300166016
145	0.5297716797
146	0.5296372396
147	0.5294005208
148	0.529269043
149	0.5289711589
150	0.5287876953
151	0.5286294271
152	0.5284772786
153	0.5282338542
154	0.5280250651
155	0.5278505859
156	0.5276143229
157	0.5273970052
158	0.5271982096
159	0.5268745443
160	0.5266559245
161	0.5263886719
162	0.5261710938
163	0.5260511068
164	0.5258667318
165	0.5255809245
166	0.5253391602
167	0.5251573893
168	0.525011263
169	0.5248566081
170	0.5246267578
171	0.5245104818
172	0.5243774089
173	0.5241693034
174	0.5239567057
175	0.5237319987
176	0.5235625
177	0.523440332
178	0.5232317057
179	0.5230805339
180	0.5229666667
181	0.5228109049
182	0.5225952474
183	0.5223453451
184	0.522233138
185	0.5220435547
186	0.5219068685
187	0.5217903646
188	0.5215671224
189	0.5213224609
190	0.5211435547
191	0.5210591797
192	0.5209241862
193	0.5208297852
194	0.5206363607
195	0.520462207
196	0.5202932943
197	0.5200999023
198	0.5199663411
199	0.5197195964
200	0.5195251953
201	0.5194131185
202	0.5192213542
203	0.5190817057
204	0.518830599
205	0.5186605469
206	0.5185669271
207	0.518320931
208	0.5181869141
209	0.5180725911
210	0.5178773438
211	0.5177504883
212	0.5176123372
213	0.5174102214
214	0.5173570638
215	0.5171588867
216	0.5171452474
217	0.5169226563
218	0.5169095703
219	0.5167910807
220	0.5166661784
221	0.5165201823
222	0.5163583333
223	0.5162361979
224	0.5161113281
225	0.5159017253
226	0.5157341146
227	0.515560026
228	0.5154069987
229	0.5151433594
230	0.5149759766
231	0.5146556966
232	0.5144847982
233	0.5143465495
234	0.514110026
235	0.5140292318
236	0.5138835286
237	0.5137619141
238	0.5136398438
239	0.5135332682
240	0.5133934896
241	0.5132591797
242	0.5130389974
243	0.5129169922
244	0.5127894857
245	0.5126907552
246	0.5126336263
247	0.5125739583
248	0.5124929036
249	0.5122727214
250	0.512106543
251	0.511989974
252	0.5118601563
253	0.511595638
254	0.5114604167
255	0.5113722656
256	0.5111283203
257	0.5108797526
258	0.5108002279
259	0.5106610026
260	0.5105389974
261	0.5105052083
262	0.5103250326
263	0.5102226888
264	0.5100613607
265	0.5099842448
266	0.5098991211
267	0.509749707
268	0.5095790365
269	0.5094526693
270	0.5094089193
271	0.5092815755
272	0.5092184896
273	0.5090962565
274	0.5090049805
275	0.5088310547
276	0.508816569
277	0.5087825195
278	0.5085928711
279	0.5084394531
280	0.5084271484
281	0.5082767578
282	0.5081652995
283	0.5080093099
284	0.5079302734
285	0.5078235352
286	0.5076474284
287	0.507499349
288	0.5074312174
289	0.5072805339
290	0.5071083659
291	0.5071006185
292	0.5070089193
293	0.506843457
294	0.506664974
295	0.506656901
296	0.5065092448
297	0.5063822591
298	0.5062977539
299	0.5062895833
300	0.5061788737
301	0.5059836589
302	0.5059730143
303	0.5057744141
304	0.5056251628
305	0.5054375
306	0.5051951172
307	0.5050648438
308	0.5049641276
309	0.5048968424
310	0.5047856771
311	0.5046696615
312	0.5044557292
313	0.5042712565
314	0.5041688802
315	0.5039723307
316	0.5039646484
317	0.5039109701
318	0.503760319
319	0.5036559245
320	0.5034791667
321	0.503246875
322	0.5032392904
323	0.5031167969
324	0.5028884115
325	0.5027603516
326	0.5027549479
327	0.5025645833
328	0.5024478516
329	0.5023418945
330	0.5022025065
331	0.5020896484
332	0.5019439128
333	0.5017655924
334	0.5016167643
335	0.5015269857
336	0.5015175781
337	0.5015123698
338	0.5012903971
339	0.5011716146
340	0.5010223307
341	0.5009231771
342	0.5007214844
343	0.5005914388
344	0.5004719401
345	0.500364974
346	0.5002293945
347	0.5000968424
348	0.499935026
349	0.4998453776
350	0.4997261719
351	0.4996626302
352	0.4995402995
353	0.4995348958
354	0.4994183268
355	0.4992812174
356	0.4990962891
357	0.498938737
358	0.4988923177
359	0.4987545898
360	0.4986477865
361	0.4984026693
362	0.4983476562
363	0.498234082
364	0.4981147135
365	0.4980280273
366	0.4980214844
367	0.4979207682
368	0.4977750651
369	0.4977150391
370	0.4975660807
371	0.4974208333
372	0.4972510417
373	0.4970911133
374	0.4970350586
375	0.4969129232
376	0.496752832
377	0.4966712891
378	0.4966035482
379	0.4965647461
380	0.4964664714
381	0.4963419922
382	0.4961814453
383	0.4960327474
384	0.495930599
385	0.4958275391
386	0.4957058594
387	0.4956742839
388	0.4955507813
389	0.4954022786
390	0.4952802083
391	0.4951494141
392	0.4950485026
393	0.4949835612
394	0.4949317057
395	0.4948036784
396	0.4946539062
397	0.4945630859
398	0.4944585286
399	0.4944084635
400	0.4943605469
401	0.4941917969
402	0.4940438802
403	0.4940047526
404	0.4938432943
405	0.4936716146
406	0.4935820964
407	0.4935736654
408	0.4934725911
409	0.4934402018
410	0.4932819661
411	0.4931507813
412	0.493027474
413	0.4929087891
414	0.4928177734
415	0.4926511068
416	0.4925133464
417	0.4924683268
418	0.4923284505
419	0.4922587891
420	0.4921300781
421	0.4919743815
422	0.4918539062
423	0.4916942383
424	0.4915697591
425	0.4914527995
426	0.4913192383
427	0.4911363281
428	0.4909719727
429	0.4908413411
430	0.4907273112
431	0.490622526
432	0.4904901693
433	0.4903306641
434	0.4903176107
435	0.4901145833
436	0.489969987
437	0.4897630208
438	0.4897053385
439	0.4896999349
440	0.4895726563
441	0.4894296224
442	0.4892829753
443	0.4891985026
444	0.4891201172
445	0.4890069336
446	0.4889067708
447	0.4887729492
448	0.4886133464
449	0.4884431315
450	0.4883803711
451	0.4882560547
452	0.4881546875
453	0.4880883464
454	0.4878988281
455	0.4878067057
456	0.4876932617
457	0.4876258789
458	0.4874188802
459	0.4872945964
460	0.4872199219
461	0.487048763
462	0.4870400391
463	0.4869030924
464	0.4867285482
465	0.486629069
466	0.486528776
467	0.4865121094
468	0.486506901
469	0.486391862
470	0.4862964518
471	0.4861722656
472	0.4860789388
473	0.4860730469
474	0.4859551432
475	0.4858400391
476	0.4856972982
477	0.4855858398
478	0.4854046224
479	0.4852794922
480	0.4851889974
481	0.4850530599
482	0.4850024089
483	0.4848770182
484	0.4847173177
485	0.4846205729
486	0.4844562826
487	0.4844094401
488	0.4842568359
489	0.484077474
490	0.4839023438
491	0.483751888
492	0.4835798828
493	0.4835751302
494	0.483458431
495	0.4833003255
496	0.4832317057
497	0.4831020833
498	0.4830229167
499	0.4829239583
500	0.482886849
501	0.4827895508
502	0.4826147786
503	0.4824853516
504	0.4823410807
505	0.4822244141
506	0.4821955078
507	0.4820945638
508	0.4820763021
509	0.4818624023
510	0.4817415039
511	0.4816825521
512	0.4815637695
513	0.4814272461
514	0.4812781576
515	0.4812228516
516	0.4810595378
517	0.481052832
518	0.4808832682
519	0.4808605794
520	0.4806969727
521	0.4805792969
522	0.4804594076
523	0.4803039714
524	0.4801893555
525	0.4801471354
526	0.4799703776
527	0.4799155273
528	0.479822526
529	0.4797373047
530	0.4796652669
531	0.479514974
532	0.4793985677
533	0.4793924805
534	0.4792733724
535	0.4791678385
536	0.4790298828
537	0.4789201172
538	0.4787582682
539	0.4787546549
540	0.478628418
541	0.4785176432
542	0.4784162435
543	0.4783051432
544	0.4782345052
545	0.4780719401
546	0.477966276
547	0.4778209635
548	0.4777238281
549	0.477618099
550	0.4774905599
551	0.4773589193
552	0.4773352539
553	0.4772133138
554	0.4770912435
555	0.4769255208
556	0.4769179687
557	0.4768522135
558	0.4768497396
559	0.4767344401
560	0.476642513
561	0.4764758789
562	0.4763889648
563	0.4762533854
564	0.4761825195
565	0.4761174154
566	0.4760289714
567	0.4759241211
568	0.4758415365
569	0.4757611654
570	0.4756643229
571	0.4756223307
572	0.475521224
573	0.4752931641
574	0.4751713216
575	0.4751089193
576	0.4749968099
577	0.4748894857
578	0.4747791016
579	0.4746572917
580	0.4745949544
581	0.4745266927
582	0.474411263
583	0.474267513
584	0.474086263
585	0.4739426758
586	0.4738457682
587	0.4737346354
588	0.4737316406
589	0.4736477214
590	0.4735992513
591	0.4735298177
592	0.473409082
593	0.4733140625
594	0.4732154948
595	0.4730950521
596	0.4729841146
597	0.4729282227
598	0.4728206706
599	0.4727244792
600	0.4726076497
601	0.4725935872
602	0.4725036458
603	0.4723907878
604	0.4722709961
605	0.4721889648
606	0.4721470378
607	0.4720338542
608	0.4719408529
609	0.4718410807
